Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,94 ,83 , >95,83 ,73 , >95,77 ,68 , 89,>95 ,89 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Lao People's Democratic Republic,21 ,19 , 25,23 ,20 , 26,26 ,23 , 30,29 ,25 , 33,31 ,27 , 36,32 ,28 , 37,33 ,29 , 39,39 ,34 , 46,40 ,35 , 46
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lesotho,32 ,28 , 36,34 ,29 , 38,36 ,31 , 40,37 ,31 , 41,42 ,35 , 47,58 ,48 , 66,73 ,59 , 84,72 ,57 , 83,70 ,55 , 81
Liberia,6 ,5 , 6,11 ,9 , 12,8 ,7 , 10,8 ,6 , 9,8 ,7 , 10,9 ,7 , 10,10 ,8 , 12,15 ,11 , 17,18 ,14 , 21
Libya,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,33 ,30 , 35,31 ,29 , 33,32 ,30 , 34,32 ,30 , 34,33 ,31 , 36,33 ,30 , 35
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,1 ,1 , 2,<1 ,<1 , 1,<1 ,<1 , 1,1 ,<1 , 1,2 ,2 , 2,<1 ,<1 , 1,2 ,2 , 3,3 ,2 , 4,5 ,4 , 6
Malawi,14 ,12 , 16,19 ,16 , 22,25 ,20 , 28,30 ,24 , 35,35 ,27 , 41,40 ,31 , 47,48 ,37 , 57,57 ,44 , 68,61 ,47 , 73
Malaysia,62 ,50 , 76,68 ,55 , 84,71 ,57 , 88,76 ,61 , 94,80 ,65 , >95,85 ,70 , >95,88 ,73 , >95,93 ,77 , >95,94 ,77 , >95
Mali,8 ,6 , 9,10 ,8 , 11,11 ,9 , 13,11 ,9 , 13,13 ,10 , 16,14 ,12 , 18,15 ,12 , 19,16 ,13 , 20,18 ,14 , 23
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,7 ,6 , 8,<1 ,<1 , <1,<1 ,<1 , <1,26 ,23 , 31,36 ,31 , 43,47 ,41 , 57,49 ,42 , 59,49 ,42 , 60,54 ,46 , 66
Mauritius,7 ,5 , 9,9 ,7 , 11,9 ,7 , 11,11 ,9 , 13,20 ,16 , 23,22 ,19 , 26,35 ,30 , 40,43 ,37 , 48,45 ,40 , 50
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Montenegro,,,,,,,... ,... , ...,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Morocco,37 ,29 , 49,46 ,36 , 61,53 ,42 , 73,71 ,56 , >95,93 ,73 , >95,>95 ,74 , >95,>95 ,79 , >95,>95 ,83 , >95,>95 ,88 , >95
Mozambique,13 ,10 , 17,17 ,12 , 22,18 ,14 , 25,26 ,20 , 36,39 ,29 , 52,41 ,31 , 55,47 ,35 , 63,54 ,41 , 73,60 ,45 , 81
Myanmar,26 ,22 , 30,36 ,30 , 42,46 ,40 , 54,54 ,47 , 63,60 ,52 , 70,72 ,62 , 83,75 ,65 , 87,78 ,67 , 90,80 ,69 , 93
Namibia,67 ,57 , 75,75 ,63 , 84,82 ,68 , 92,75 ,61 , 84,78 ,62 , 88,75 ,59 , 84,76 ,60 , 86,77 ,61 , 88,78 ,61 , 89
Nepal,20 ,17 , 23,29 ,25 , 34,36 ,31 , 42,41 ,36 , 48,50 ,44 , 59,58 ,51 , 68,66 ,58 , 77,89 ,78 , >95,91 ,80 , >95
Netherlands,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,36 ,29 , 48,38 ,30 , 50,40 ,32 , 54,43 ,34 , 57,44 ,34 , 58,48 ,36 , 65,51 ,39 , 69,51 ,39 , 70,55 ,41 , 76
Niger,9 ,7 , 10,14 ,12 , 16,20 ,16 , 23,17 ,14 , 20,22 ,18 , 25,32 ,26 , 38,38 ,31 , 46,50 ,41 , 62,52 ,42 , 66
Nigeria,12 ,8 , 18,16 ,10 , 25,21 ,13 , 31,23 ,15 , 35,26 ,17 , 40,31 ,19 , 46,34 ,22 , 52,35 ,22 , 53,35 ,22 , 53
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Pakistan,3 ,3 , 4,2 ,2 , 3,3 ,3 , 4,4 ,3 , 4,4 ,3 , 4,7 ,6 , 8,7 ,6 , 9,9 ,8 , 10,11 ,10 , 13
Panama,>95 ,90 , >95,>95 ,88 , >95,93 ,85 , >95,80 ,73 , 87,70 ,64 , 77,72 ,66 , 79,79 ,72 , 87,67 ,61 , 74,76 ,69 , 84
Papua New Guinea,14 ,12 , 16,16 ,14 , 19,21 ,17 , 24,25 ,21 , 30,30 ,25 , 36,35 ,28 , 41,39 ,31 , 46,43 ,34 , 51,49 ,39 , 58
Paraguay,22 ,15 , 30,35 ,25 , 47,38 ,26 , 52,41 ,28 , 58,39 ,26 , 56,37 ,25 , 54,42 ,28 , 63,44 ,29 , 69,43 ,28 , 68
Peru,29 ,22 , 40,30 ,23 , 41,33 ,25 , 45,43 ,33 , 60,48 ,36 , 67,55 ,41 , 78,58 ,43 , 83,48 ,35 , 69,48 ,34 , 70
Philippines,22 ,18 , 25,17 ,14 , 20,25 ,21 , 30,13 ,10 , 15,13 ,11 , 16,17 ,14 , 21,15 ,13 , 19,19 ,16 , 24,20 ,16 , 25
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,14 ,10 , 20,17 ,13 , 24,21 ,15 , 28,26 ,19 , 36,31 ,22 , 42,33 ,24 , 45,38 ,28 , 52,41 ,30 , 56,40 ,30 , 55
Romania,17 ,16 , 17,22 ,21 , 23,33 ,31 , 34,50 ,48 , 52,82 ,79 , 86,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,35 ,29 , 40,38 ,31 , 43,42 ,33 , 48,45 ,36 , 53,49 ,38 , 58,54 ,41 , 65,61 ,47 , 75,62 ,46 , 77,63 ,47 , 80
Saint Kitts and Nevis,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1
Saint Lucia,<1 ,<1 , <1,6 ,5 , 6,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,11 ,10 , 12,6 ,6 , 7,6 ,5 , 6,6 ,5 , 6
Saint Vincent and the Grenadines,10 ,9 , 10,10 ,9 , 10,10 ,9 , 10,19 ,17 , 21,38 ,34 , 42,38 ,34 , 42,38 ,34 , 42,38 ,34 , 42,36 ,31 , 40
Sao Tome and Principe,6 ,5 , 7,7 ,6 , 8,13 ,11 , 15,12 ,10 , 14,24 ,20 , 28,27 ,22 , 33,41 ,33 , 51,48 ,39 , 64,62 ,48 , 83
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , 1,<1 ,<1 , 1,12 ,10 , 14,23 ,20 , 26,25 ,21 , 28,26 ,22 , 30,31 ,26 , 35
Serbia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sierra Leone,5 ,4 , 7,7 ,5 , 9,6 ,5 , 7,6 ,5 , 8,6 ,5 , 8,10 ,8 , 12,11 ,9 , 14,14 ,11 , 18,17 ,13 , 22
Singapore,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Somalia,<1 ,<1 , <1,2 ,2 , 3,2 ,2 , 3,4 ,3 , 4,5 ,5 , 7,7 ,6 , 9,8 ,7 , 10,11 ,9 , 14,14 ,12 , 19
South Africa,32 ,25 , 37,43 ,34 , 51,48 ,38 , 59,52 ,41 , 65,55 ,43 , 70,58 ,45 , 75,61 ,47 , 81,61 ,48 , 83,63 ,49 , 87
South Sudan,<1 ,<1 , <1,<1 ,<1 , 1,1 ,<1 , 1,2 ,1 , 2,3 ,3 , 4,4 ,3 , 6,6 ,4 , 7,7 ,6 , 10,9 ,7 , 12
Spain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sudan,8 ,6 , 10,4 ,4 , 5,5 ,4 , 6,7 ,6 , 9,11 ,8 , 14,10 ,8 , 14,12 ,8 , 17,14 ,9 , 21,15 ,8 , 23
Suriname,79 ,58 , >95,86 ,62 , >95,90 ,64 , >95,87 ,62 , >95,90 ,62 , >95,>95 ,77 , >95,>95 ,76 , >95,95 ,62 , >95,72 ,45 , >95
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,7 ,6 , 9,18 ,14 , 22,35 ,29 , 42,65 ,54 , 76,88 ,76 , >95,>95 ,86 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Thailand,66 ,53 , 77,66 ,54 , 79,66 ,53 , 78,65 ,52 , 78,66 ,52 , 80,65 ,52 , 78,71 ,57 , 86,73 ,59 , 87,83 ,68 , >95
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,9 ,7 , 10,12 ,10 , 13,13 ,11 , 15,16 ,13 , 17,19 ,16 , 22,21 ,18 , 24,24 ,21 , 27,28 ,24 , 31,34 ,29 , 38
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uganda,16 ,13 , 17,18 ,15 , 20,27 ,23 , 30,34 ,29 , 38,45 ,39 , 50,52 ,45 , 57,57 ,50 , 63,61 ,53 , 67,66 ,57 , 74
Ukraine,79 ,68 , 92,84 ,72 , >95,87 ,74 , >95,91 ,78 , >95,>95 ,86 , >95,>95 ,82 , >95,>95 ,87 , >95,>95 ,86 , >95,>95 ,83 , >95
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,16 ,14 , 19,18 ,15 , 21,31 ,25 , 35,38 ,32 , 44,42 ,35 , 50,53 ,43 , 63,57 ,45 , 68,58 ,46 , 71,65 ,51 , 80
United States,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uruguay,77 ,63 , >95,75 ,61 , >95,>95 ,83 , >95,87 ,71 , >95,>95 ,80 , >95,86 ,70 , >95,65 ,52 , 87,69 ,53 , 95,64 ,47 , 90
Uzbekistan,37 ,36 , 38,49 ,48 , 51,62 ,60 , 64,72 ,70 , 75,83 ,79 , 86,91 ,87 , >95,94 ,90 , >95,94 ,89 , >95,93 ,87 , >95
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Viet Nam,70 ,58 , 81,79 ,66 , 91,87 ,72 , >95,91 ,75 , >95,93 ,77 , >95,>95 ,80 , >95,>95 ,79 , >95,>95 ,77 , >95,92 ,74 , >95
Yemen,17 ,11 , 26,20 ,13 , 32,20 ,13 , 31,20 ,14 , 31,46 ,33 , 68,28 ,20 , 40,29 ,22 , 42,32 ,24 , 47,33 ,24 , 50
Zambia,31 ,26 , 37,37 ,31 , 44,46 ,38 , 54,54 ,45 , 64,63 ,52 , 74,76 ,63 , 89,76 ,63 , 90,71 ,59 , 84,79 ,65 , 93
Zimbabwe,26 ,20 , 31,33 ,25 , 40,40 ,31 , 49,42 ,33 , 51,52 ,41 , 64,61 ,48 , 75,70 ,54 , 86,77 ,60 , 94,76 ,59 , 93
Global,20,,,25,,,30,,,34,,,40,,,45,,,49,,,52,,,54,,